"","address1","lon","lat"
"273","1170 LIBERTY AVE 11208",-73.8658705,40.6786341
"274","197 EAST    3 STREET 10009",-73.983206,40.723004
"275","460 AMSTERDAM AVENUE 10024",-73.9770732,40.7853004
"276","771A WASHINGTON AVE 11238",-73.9628229,40.6737817
"277","411 WEST   42 STREET 10036",-73.9928799,40.7591028
"278","0 106 STREET & 5 AVENUE 10029",-73.9510515,40.7942593
"279","21901 NORTHERN BOULEVARD 11361",-73.7628255,40.7614776
"280","340 WEST 40 STREET 10018",-73.9927096,40.7565465
"281","1904 BATH AVENUE 11214",-74.0038049,40.6024007
"282","302 BROOME ST 10002",-73.9922141,40.7189015
"283","98104 MESEROLE AVENUE 11222",-73.9509798,40.7276629
"284","9 EAST   13 STREET 10003",-73.993302,40.7351161
"285","2241 1 AVENUE 10029",-73.9360706,40.7955883
"286","634 WEST  207 STREET 10034",-73.9218772,40.8682504
"287","267 MADISON AVENUE 10016",-73.9802638,40.7509701
"288","85 AVENUE A 10009",-73.9844149,40.7252906
"289","596 GRAND ST 11211",-73.948078,40.7109412
"290","11908 MERRICK BLVD 11434",-73.7731824,40.6855016
"291","368 WEST   23 STREET 10011",-74.0012688,40.7462007
"292","2123 AVENUE Z 11235",-73.9475902,40.5888968
"293","764 FRANKLIN AVENUE 11238",-73.9576776,40.6723426
"294","201 PARK AVE S 10003",-73.9885554,40.7366011
"295","125 W 26TH ST 10001",-73.9922357,40.7453825
"296","948 4 AVENUE 11232",-74.0044802,40.6546281
"297","25 FLATBUSH AVE 11217",-73.9799326,40.6879686
"298","111 EAST   56 STREET 10022",-73.9705315,40.7607674
"299","10613 GUY R BREWER BOULEVARD 11433",-73.793002,40.699457
"300","3768 WHITE PLAINS ROAD 10467",-73.8625608,40.8833024
"301","603 2 AVENUE 10016",-73.9765243,40.7443027
"302","987 EAST  233 STREET 10466",-73.8488172,40.8908696
"303","9715 57TH AVE 11368",-73.8635445,40.737312
